[2025-07-12 15:56:07,440] INFO django.server "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-07-12 15:56:26,316] INFO django.server "GET /static/admin/img/calendar-icons.svg HTTP/1.1" 200 2455
[2025-07-12 15:56:41,679] INFO django.server "GET /admin/api/organizationuser/add/?_to_field=user_ptr&_popup=1 HTTP/1.1" 200 7867
[2025-07-12 15:56:41,699] INFO django.server "GET /static/admin/css/unusable_password_field.css HTTP/1.1" 200 663
[2025-07-12 15:56:41,700] INFO django.server "GET /static/admin/js/unusable_password_field.js HTTP/1.1" 200 1480
[2025-07-12 15:56:41,707] INFO django.server "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-07-12 15:56:49,734] INFO django.server "POST /admin/api/organizationuser/add/?_to_field=user_ptr&_popup=1 HTTP/1.1" 200 8178
[2025-07-12 15:56:49,758] INFO django.server "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-07-12 15:56:59,625] INFO django.server "POST /admin/api/organizationuser/add/?_to_field=user_ptr&_popup=1 HTTP/1.1" 200 8103
[2025-07-12 15:56:59,693] INFO django.server "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-07-12 15:57:21,974] INFO django.server "POST /admin/api/organizationuser/add/?_to_field=user_ptr&_popup=1 HTTP/1.1" 200 324
[2025-07-12 15:58:33,539] INFO django.server "GET /admin/api/practicetype/add/?_to_field=practice_type_id&_popup=1 HTTP/1.1" 200 4999
[2025-07-12 15:58:33,573] INFO django.server "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-07-12 15:58:33,601] WARNING django.request Not Found: /favicon.ico
[2025-07-12 15:58:33,602] WARNING django.server "GET /favicon.ico HTTP/1.1" 404 3696
[2025-07-12 15:58:43,222] INFO django.server "POST /admin/api/practicetype/add/?_to_field=practice_type_id&_popup=1 HTTP/1.1" 200 324
[2025-07-12 15:58:43,242] INFO django.server "GET /static/admin/js/popup_response.js HTTP/1.1" 200 532
[2025-07-12 15:58:53,433] INFO django.server "POST /admin/api/practice/add/ HTTP/1.1" 302 0
[2025-07-12 15:58:53,452] INFO django.server "GET /admin/api/practice/ HTTP/1.1" 200 18974
[2025-07-12 15:58:53,479] INFO django.server "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-07-12 15:59:17,933] INFO django.server "OPTIONS /api/users/token/refresh/ HTTP/1.1" 200 0
[2025-07-12 15:59:17,933] INFO django.server "OPTIONS /api/users/token/refresh/ HTTP/1.1" 200 0
[2025-07-12 15:59:17,937] INFO django.server "OPTIONS /api/users/login/ HTTP/1.1" 200 0
[2025-07-12 15:59:17,957] INFO django.server "POST /api/users/token/refresh/ HTTP/1.1" 200 372
[2025-07-12 15:59:17,957] INFO django.server "POST /api/users/token/refresh/ HTTP/1.1" 200 372
[2025-07-12 15:59:18,244] INFO django.server "POST /api/users/login/ HTTP/1.1" 200 853
[2025-07-12 15:59:18,482] INFO django.server "OPTIONS /api/practices/practices/ HTTP/1.1" 200 0
[2025-07-12 15:59:18,483] INFO django.server "OPTIONS /api/subjects/subjects/ HTTP/1.1" 200 0
[2025-07-12 15:59:18,484] INFO django.server "OPTIONS /api/practices/practices/ HTTP/1.1" 200 0
[2025-07-12 15:59:18,485] INFO django.server "OPTIONS /api/subjects/subjects/ HTTP/1.1" 200 0
[2025-07-12 15:59:18,499] INFO django.server "GET /api/subjects/subjects/ HTTP/1.1" 200 199
[2025-07-12 15:59:18,506] INFO django.server "GET /api/practices/practices/ HTTP/1.1" 200 62480
[2025-07-12 15:59:18,561] INFO django.server "GET /api/subjects/subjects/ HTTP/1.1" 200 199
[2025-07-12 15:59:18,564] INFO django.server "GET /api/practices/practices/ HTTP/1.1" 200 62480
[2025-07-12 16:00:47,356] WARNING django.request Unauthorized: /api/practices/practices/
[2025-07-12 16:00:47,357] WARNING django.server "GET /api/practices/practices/ HTTP/1.1" 401 58
[2025-07-12 16:00:47,370] WARNING django.request Unauthorized: /api/subjects/subjects/
[2025-07-12 16:00:47,371] WARNING django.request Unauthorized: /api/practices/practices/
